Run number;Date;Duration;Scan name;Scan description;Pulses;Transmission;Steps;Num hits;Hit fraction;Num streaks;Command
109;2025-07-18 19:54:31;0:00:10;JF_whitefield_off-axis__MLLs-after-tweaking;JF_whitefield_off-axis__MLLs-after-tweaking;999;0.0321354940533638;1;None;None;None;scans.acquire(1000,description="JF_whitefield_off-axis__MLLs-after-tweaking")
110;2025-07-18 20:24:47;0:16:53;B3C #4;B3C #4;86882;1.0;250;5448;0.06270573881816717;224837;scans.snakescan(cbd.sample_y,.04,250,cbd.sample_x,30,description="B3C #4", return_at_end=False)
111;2025-07-18 21:02:08;1:00:35;AIPA #2;AIPA #2;344156;1.0;330;364;0.0010576598984181592;28187;scans.snakescan(cbd.sample_y,.03,330,cbd.sample_x,30,description="AIPA #2", return_at_end=False)
112;2025-07-18 22:31:56;0:34:58;Co Phth high density;Co Phth high density;197054;1.0;215;823;0.0041765201416870505;256439;scans.snakescan(cbd.sample_y,.035,215,cbd.sample_x,30,description="Co Phth high density", return_at_end=False)
113;2025-07-18 23:32:12;0:24:52;Ferritin on Mylar D1;Ferritin on Mylar D1;140324;1.0;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Ferritin on Mylar D1", return_at_end=False)
114;2025-07-19 00:01:29;None;Ferritin on Mylar D1 continue after beam dump;Ferritin on Mylar D1 continue after beam dump;None;1.0;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Ferritin on Mylar D1 continue after beam dump", return_at_end=False)
115;2025-07-19 00:02:17;None;Ferritin on Mylar D1 continue after beam dump;Ferritin on Mylar D1 continue after beam dump;None;1.0;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Ferritin on Mylar D1 continue after beam dump", return_at_end=False)
116;2025-07-19 00:04:46;None;Ferritin on Mylar D1 continue after beam dump;Ferritin on Mylar D1 continue after beam dump;None;1.0;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Ferritin on Mylar D1 continue after beam dump", return_at_end=False)
117;2025-07-19 00:07:54;None;Ferritin on Mylar D1 continue after beam dump;Ferritin on Mylar D1 continue after beam dump;None;1.0;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Ferritin on Mylar D1 continue after beam dump", return_at_end=False)
118;2025-07-19 00:14:30;None;Ferritin on Mylar D1 continue after beam dump;Ferritin on Mylar D1 continue after beam dump;None;1.0;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Ferritin on Mylar D1 continue after beam dump", return_at_end=False)
119;2025-07-19 00:15:36;0:25:05;Ferritin on Mylar D1 continue after beam dump;Ferritin on Mylar D1 continue after beam dump;118810;1.0;200;None;None;None;scans.snakescan(cbd.sample_y,.035,200,cbd.sample_x,29,description="Ferritin on Mylar D1 continue after beam dump", return_at_end=False)
120;2025-07-19 00:58:12;0:46:18;AIPA #3;AIPA #3;261265;1.0;285;4343;0.016622969016133044;401513;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="AIPA #3", return_at_end=False)
121;2025-07-19 02:06:42;0:46:19;B4C-06;B4C-06;261346;1.0;285;68388;0.26167609223022353;2915033;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="B4C-06", return_at_end=False)
122;2025-07-19 03:17:54;0:17:33;Phthalocyanine;Phthalocyanine;99015;1.0;285;1;1.0099479876786346e-05;29506;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Phthalocyanine", return_at_end=False)
123;2025-07-19 03:57:12;0:24:11;Vitamine B12;Vitamine B12;136631;1.0;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Vitamine B12", return_at_end=False)
124;2025-07-19 04:36:17;0:13:48;Ftn D1 3;Ftn D1 3;78002;1.0;285;39;0.0004999871798159022;15259;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Ftn D1 3", return_at_end=False)
125;2025-07-19 05:08:30;0:09:55;ProtK 8_1;ProtK 8_1;55850;1.0;285;72;0.0012891674127126231;4898;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,29,description="ProtK 8_1", return_at_end=False)
126;2025-07-19 05:33:56;0:44:55;B3C_03;B3C_03;252782;1.0;285;6542;0.025880007278999296;220868;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,29,description="B3C_03", return_at_end=False)
127;2025-07-19 06:32:49;0:46:19;Tyrosine;Tyrosine;261305;1.0;285;5085;0.01946001798664396;314552;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Tyrosine", return_at_end=False)
128;2025-07-19 07:37:18;0:46:22;Histidine;Histidine;261401;1.0;285;6131;0.02345438617296797;298634;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Histidine", return_at_end=False)
129;2025-07-19 08:42:21;0:10:14;ProtK 8_2;ProtK 8_2;57772;1.0;285;13;0.000225022502250225;2423;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="ProtK 8_2", return_at_end=False)
130;2025-07-19 09:13:37;0:10:34;B4C 02;B4C 02;59643;1.0;285;49;0.0008215549184313331;3469;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="B4C 02", return_at_end=False)
131;2025-07-19 10:44:54;0:00:10;JF_whitefield_off-axis__MLLs-after-tweaking;JF_whitefield_off-axis__MLLs-after-tweaking;999;0.010252558626234531;1;None;None;None;scans.acquire(1000,description="JF_whitefield_off-axis__MLLs-after-tweaking")
132;2025-07-19 11:13:53;0:00:10;JF_whitefield_off-axis__MLLs-after-KB-increase;JF_whitefield_off-axis__MLLs-after-KB-increase;999;0.010252558626234531;1;None;None;None;scans.acquire(1000,description="JF_whitefield_off-axis__MLLs-after-KB-increase")
133;2025-07-19 11:31:40;0:08:09;Vitamin B12;Vitamin B12;46073;0.2179531306028366;50;659;0.014303388101491113;34752;scans.snakescan(cbd.sample_y,.035,50,cbd.sample_x,30,description="Vitamin B12", return_at_end=False)
134;2025-07-19 11:41:47;0:38:28;Vitamin B12;Vitamin B12;217045;0.2867475152015686;235;5895;0.027160266304222625;317678;scans.snakescan(cbd.sample_y,.035,235,cbd.sample_x,30,description="Vitamin B12", return_at_end=False)
135;2025-07-19 12:51:15;0:44:55;Ferritin-with-Ce-NPs;Ferritin-with-Ce-NPs;252908;0.2867475152015686;285;1042;0.004120075284293103;307110;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,29,description="Ferritin-with-Ce-NPs", return_at_end=False)
136;2025-07-19 13:56:51;0:19:11;Ferritin-with-Ce-NPs;Ferritin-with-Ce-NPs;98522;0.5136491060256958;285;579;0.005876859990661984;130505;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,29,description="Ferritin-with-Ce-NPs", return_at_end=False)
137;2025-07-19 14:43:21;0:03:48;AIPA 3 thick;AIPA 3 thick;19453;0.5136491060256958;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,29,description="AIPA 3 thick", return_at_end=False)
138;2025-07-19 14:48:22;0:35:26;AIPA 3 thick;AIPA 3 thick;199734;0.5136491060256958;225;28692;0.1436510559043528;1151239;scans.snakescan(cbd.sample_y,.035,225,cbd.sample_x,29,description="AIPA 3 thick", return_at_end=False)
139;2025-07-19 15:47:36;1:02:06;B12 thick;B12 thick;356060;0.5136491060256958;285;9575;0.02689153513452789;603971;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="B12 thick", return_at_end=False)
140;2025-07-19 17:15:27;1:02:07;Histidine 2;Histidine 2;355883;0.5136491060256958;285;373;0.0010480972679223228;23528;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Histidine 2", return_at_end=False)
141;2025-07-19 18:39:34;1:02:02;Prot-K 9;Prot-K 9;355746;0.659426748752594;285;38;0.00010681778572352184;19536;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Prot-K 9", return_at_end=False)
142;2025-07-19 20:00:55;0:00:10;JF_whitefield_off-axis__MLLs-after-run 141;JF_whitefield_off-axis__MLLs-after-run 141;999;0.0019386460771784186;1;None;None;None;scans.acquire(1000,description="JF_whitefield_off-axis__MLLs-after-run 141")
143;2025-07-19 20:13:32;0:00:21;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;1386;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
144;2025-07-19 20:16:12;0:00:27;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;1881;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
145;2025-07-19 20:17:54;0:00:17;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;1089;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
146;2025-07-19 20:19:55;0:00:37;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;2475;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
147;2025-07-19 20:32:43;0:00:37;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;2475;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
148;2025-07-19 20:44:07;0:00:03;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;198;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
149;2025-07-19 20:45:06;0:00:36;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;2475;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
150;2025-07-19 20:59:00;0:00:12;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;891;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
151;2025-07-19 21:00:20;0:00:30;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;2079;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
152;2025-07-19 21:02:07;0:00:09;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;594;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
153;2025-07-19 21:03:11;0:00:11;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;693;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
154;2025-07-19 21:04:14;0:00:09;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;594;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
155;2025-07-19 21:05:44;0:00:07;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;396;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
156;2025-07-19 21:07:12;0:00:04;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;297;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
157;2025-07-19 21:08:38;0:00:20;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;1386;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
158;2025-07-19 21:10:58;0:00:09;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;693;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
159;2025-07-19 21:12:16;0:00:20;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;1386;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
160;2025-07-19 21:14:08;0:00:35;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;2475;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
161;2025-07-19 21:23:30;0:00:37;ST-scan-off-axis-lenses;ST-scan-off-axis-lenses;2475;0.004006986040621996;25;None;None;None;scans.meshscan((cbd.sample_y,cbd.sample_y()-0.004, cbd.sample_y()+0.004,4),(cbd.sample_x,cbd.sample_x()-0.004,cbd.sample_x()+0.004,4),N_pulses=100,description='ST-scan-off-axis-lenses')
162;2025-07-19 21:58:33;1:02:07;Co-Phth;Co-Phth;355941;0.5136491060256958;285;1353;0.003801191770546242;427131;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Co-Phth", return_at_end=False)
163;2025-07-20 00:34:10;1:02:07;Nico Large 1;Nico Large 1;355763;0.5136491060256958;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Nico Large 1", return_at_end=False)
164;2025-07-20 02:03:57;0:12:11;B3C #5;B3C #5;69852;0.5136491060256958;285;3736;0.05348451010708355;169284;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="B3C #5", return_at_end=False)
165;2025-07-20 02:19:22;0:12:24;B3C #5 100um out-of-focus;B3C #5 100um out-of-focus;71097;0.5136491060256958;57;7684;0.10807769666793254;388556;scans.snakescan(cbd.sample_y,.035,57,cbd.sample_x,30,description="B3C #5 100um out-of-focus", return_at_end=False)
166;2025-07-20 02:33:39;0:12:24;B3C #5 300um out-of-focus;B3C #5 300um out-of-focus;71146;0.5136491060256958;57;7468;0.10496725044275153;342695;scans.snakescan(cbd.sample_y,.035,57,cbd.sample_x,30,description="B3C #5 300um out-of-focus", return_at_end=False)
167;2025-07-20 02:49:26;0:10:26;B3C #5 300um out-of-focus;B3C #5 300um out-of-focus;59281;0.5136491060256958;57;9751;0.16448777854624586;461543;scans.snakescan(cbd.sample_y,.035,57,cbd.sample_x,30,description="B3C #5 300um out-of-focus", return_at_end=False)
168;2025-07-20 03:02:43;0:04:55;B3C #5 1000um out-of-focus;B3C #5 1000um out-of-focus;27082;0.5136491060256958;45;14197;0.5242227309652168;2002959;scans.snakescan(cbd.sample_y,.05,45,cbd.sample_x,30,description="B3C #5 1000um out-of-focus", return_at_end=False)
169;2025-07-20 03:30:36;1:02:06;I3C #10;I3C #10;355637;0.5136491060256958;285;46351;0.13033233324991494;1819252;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="I3C #10", return_at_end=False)
170;2025-07-20 04:46:48;1:02:08;VitB12 #2;VitB12 #2;355710;0.5136491060256958;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="VitB12 #2", return_at_end=False)
171;2025-07-20 06:02:08;0:05:13;Terephtalic acid;Terephtalic acid;29941;0.5136491060256958;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Terephtalic acid", return_at_end=False)
172;2025-07-20 06:19:36;None;Ciprofloxacin;Ciprofloxacin;None;0.5136491060256958;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Ciprofloxacin", return_at_end=False)
173;2025-07-20 06:20:45;0:06:19;Ciprofloxacin;Ciprofloxacin;36208;0.5136491060256958;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Ciprofloxacin", return_at_end=False)
174;2025-07-20 06:40:15;0:06:06;I3C #9;I3C #9;34962;0.5136491060256958;285;535;0.015302328242091413;23560;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="I3C #9", return_at_end=False)
175;2025-07-20 06:47:13;0:56:15;I3C #9 continue;I3C #9 continue;322268;0.5136491060256958;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="I3C #9 continue", return_at_end=False)
176;2025-07-20 07:55:51;1:02:06;Cu Phthalocyanine;Cu Phthalocyanine;355791;0.5136491060256958;285;4095;0.011509566009258244;324385;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Cu Phthalocyanine", return_at_end=False)
177;2025-07-20 09:12:38;0:15:54;Zn Phthalocyanine;Zn Phthalocyanine;91180;0.5136491060256958;285;3867;0.04241061636323755;267180;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Zn Phthalocyanine", return_at_end=False)
178;2025-07-20 09:32:01;0:14:10;Zn Phthalocyanine 200um defocus;Zn Phthalocyanine 200um defocus;81183;0.5136491060256958;65;5219;0.0642868580860525;301348;scans.snakescan(cbd.sample_y,.035,65,cbd.sample_x,30,description="Zn Phthalocyanine 200um defocus", return_at_end=False)
179;2025-07-20 09:48:22;0:11:53;Zn Phthalocyanine 500um defocus;Zn Phthalocyanine 500um defocus;67642;0.5136491060256958;65;1625;0.02402353567310251;1321263;scans.snakescan(cbd.sample_y,.035,65,cbd.sample_x,30,description="Zn Phthalocyanine 500um defocus", return_at_end=False)
180;2025-07-20 10:01:45;0:07:03;Zn Phthalocyanine 1000um defocus;Zn Phthalocyanine 1000um defocus;38835;0.5136491060256958;85;None;None;None;scans.snakescan(cbd.sample_y,.05,85,cbd.sample_x,30,description="Zn Phthalocyanine 1000um defocus", return_at_end=False)
181;2025-07-20 10:30:03;0:11:33;Fe Phthalocyanine;Fe Phthalocyanine;66297;0.5136491060256958;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Fe Phthalocyanine", return_at_end=False)
182;2025-07-20 10:42:28;0:06:06;Fe Phthalocyanine center;Fe Phthalocyanine center;35000;0.5136491060256958;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Fe Phthalocyanine center", return_at_end=False)
183;2025-07-20 11:06:56;0:06:06;Zn Phthalocyanine #2;Zn Phthalocyanine #2;35019;0.09890887141227722;285;3300;0.0942345583825923;2393265;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Zn Phthalocyanine #2", return_at_end=False)
184;2025-07-20 11:14:59;0:13:05;Zn Phthalocyanine #2 100um defocus;Zn Phthalocyanine #2 100um defocus;74985;0.09890887141227722;60;None;None;None;scans.snakescan(cbd.sample_y,.035,60,cbd.sample_x,30,description="Zn Phthalocyanine #2 100um defocus", return_at_end=False)
185;2025-07-20 11:30:29;0:13:04;Zn Phthalocyanine #2 300um defocus;Zn Phthalocyanine #2 300um defocus;74997;0.09890887141227722;60;None;None;None;scans.snakescan(cbd.sample_y,.035,60,cbd.sample_x,30,description="Zn Phthalocyanine #2 300um defocus", return_at_end=False)
186;2025-07-20 11:45:51;0:13:42;Zn Phthalocyanine #2 500um defocus;Zn Phthalocyanine #2 500um defocus;77914;0.09890887141227722;75;None;None;None;scans.snakescan(cbd.sample_y,.035,75,cbd.sample_x,30,description="Zn Phthalocyanine #2 500um defocus", return_at_end=False)
187;2025-07-20 12:00:49;0:08:24;Zn Phthalocyanine #2 1000um defocus;Zn Phthalocyanine #2 1000um defocus;47777;0.09890887141227722;60;None;None;None;scans.snakescan(cbd.sample_y,.05,60,cbd.sample_x,30,description="Zn Phthalocyanine #2 1000um defocus", return_at_end=False)
188;2025-07-20 12:24:59;0:00:24;B3C #7;B3C #7;2297;0.5136491060256958;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="B3C #7", return_at_end=False)
189;2025-07-20 12:28:43;0:08:42;B3C #7;B3C #7;49982;0.09890887141227722;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="B3C #7", return_at_end=False)
190;2025-07-20 12:38:54;0:13:04;B3C #7 100um defocus;B3C #7 100um defocus;74910;0.09890887141227722;60;None;None;None;scans.snakescan(cbd.sample_y,.035,60,cbd.sample_x,30,description="B3C #7 100um defocus", return_at_end=False)
191;2025-07-20 12:55:07;0:13:04;B3C #7 300um defocus;B3C #7 300um defocus;74878;0.09890887141227722;60;None;None;None;scans.snakescan(cbd.sample_y,.035,60,cbd.sample_x,30,description="B3C #7 300um defocus", return_at_end=False)
192;2025-07-20 13:10:07;0:10:59;B3C #7 500um defocus;B3C #7 500um defocus;62451;0.09890887141227722;60;None;None;None;scans.snakescan(cbd.sample_y,.035,60,cbd.sample_x,30,description="B3C #7 500um defocus", return_at_end=False)
193;2025-07-20 13:24:17;0:05:31;B3C #7 1000um defocus;B3C #7 1000um defocus;30369;0.09890887141227722;48;None;None;None;scans.snakescan(cbd.sample_y,.05,48,cbd.sample_x,30,description="B3C #7 1000um defocus", return_at_end=False)
194;2025-07-20 13:47:40;0:00:10;JF_whitefield_off-axis__MLLs-after-run 193;JF_whitefield_off-axis__MLLs-after-run 193;999;0.0009957837173715234;1;None;None;None;scans.acquire(1000,description="JF_whitefield_off-axis__MLLs-after-run 193")
195;2025-07-20 13:53:11;0:00:10;JF_whitefield_off-axis__MLLs-after-run 193;JF_whitefield_off-axis__MLLs-after-run 193;999;0.0009957837173715234;1;None;None;None;scans.acquire(1000,description="JF_whitefield_off-axis__MLLs-after-run 193")
196;2025-07-20 14:09:30;0:00:10;JF_whitefield_off-axis__MLLs-detector at 0.60 of the distance;JF_whitefield_off-axis__MLLs-detector at 0.60 of the distance;999;0.00010511495202081278;1;None;None;None;scans.acquire(1000,description="JF_whitefield_off-axis__MLLs-detector at 0.60 of the distance")
197;2025-07-20 15:31:00;0:07:52;Lyso, KB focused beam;Lyso, KB focused beam;43345;1.0;200;None;None;None;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,30,description="Lyso, KB focused beam", return_at_end=False)
198;2025-07-20 15:40:47;0:15:52;Lyso, KB focused beam;Lyso, KB focused beam;87243;0.09890887141227722;200;None;None;None;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,30,description="Lyso, KB focused beam", return_at_end=False)
199;2025-07-20 16:36:33;0:23:00;Lyso #3, KB focused beam;Lyso #3, KB focused beam;126490;0.5136491060256958;200;None;None;None;scans.snakescan(cbd.sample_y,.05,200,cbd.sample_x,29,description="Lyso #3, KB focused beam", return_at_end=False)
200;2025-07-20 17:35:04;0:00:10;JF_whitefield_off-axis__MLLs-detector at 0.60 of the distance;JF_whitefield_off-axis__MLLs-detector at 0.60 of the distance;999;0.00010511495202081278;1;None;None;None;scans.acquire(1000,description="JF_whitefield_off-axis__MLLs-detector at 0.60 of the distance")
201;2025-07-20 18:03:11;0:00:10;JF_whitefield_off-axis__MLLs-detector at full distance;JF_whitefield_off-axis__MLLs-detector at full distance;999;0.00010511495202081278;1;None;None;None;scans.acquire(1000,description="JF_whitefield_off-axis__MLLs-detector at full distance")
202;2025-07-20 18:19:29;0:00:10;JF_whitefield_off-axis__MLLs-detector at full distance-with slits;JF_whitefield_off-axis__MLLs-detector at full distance-with slits;999;0.0009957837173715234;1;None;None;None;scans.acquire(1000,description="JF_whitefield_off-axis__MLLs-detector at full distance-with slits")
203;2025-07-20 18:42:07;None;Ferritin fresh;Ferritin fresh;None;0.659426748752594;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Ferritin fresh", return_at_end=False)
204;2025-07-20 18:44:26;0:16:49;Ferritin fresh;Ferritin fresh;96302;0.659426748752594;285;183;0.0019002720608087059;17865;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,29.5,description="Ferritin fresh", return_at_end=False)
205;2025-07-20 19:02:40;0:42:39;Ferritin fresh;Ferritin fresh;244421;0.659426748752594;200;None;None;None;scans.snakescan(cbd.sample_y,.035,200,cbd.sample_x,29.5,description="Ferritin fresh", return_at_end=False)
206;2025-07-20 20:03:45;0:06:05;Lysozyme 4;Lysozyme 4;34852;0.659426748752594;30;None;None;None;scans.snakescan(cbd.sample_y,.035,30,cbd.sample_x,28,description="Lysozyme 4", return_at_end=False)
207;2025-07-20 20:12:54;0:01:40;Lysozyme 4;Lysozyme 4;8681;1.0;250;None;None;None;scans.snakescan(cbd.sample_y,.035,250,cbd.sample_x,28,description="Lysozyme 4", return_at_end=False)
208;2025-07-20 20:15:35;None;Lysozyme 4;Lysozyme 4;None;1.0;225;None;None;None;scans.snakescan(cbd.sample_y,.035,225,cbd.sample_x,28,description="Lysozyme 4", return_at_end=False)
209;2025-07-20 20:18:04;None;Lysozyme 4;Lysozyme 4;None;1.0;225;None;None;None;scans.snakescan(cbd.sample_y,.035,225,cbd.sample_x,28,description="Lysozyme 4", return_at_end=False)
210;2025-07-20 20:19:23;0:00:23;Lysozyme 4;Lysozyme 4;2288;1.0;225;None;None;None;scans.snakescan(cbd.sample_y,.035,225,cbd.sample_x,28,description="Lysozyme 4", return_at_end=False)
211;2025-07-20 20:53:23;0:00:10;JF_whitefield_Z=160;JF_whitefield_Z=160;999;1.3821053244100767e-06;1;None;None;None;scans.acquire(1000,description="JF_whitefield_Z=160")
212;2025-07-20 21:03:52;0:00:23;Lysozyme 4;Lysozyme 4;2342;1.0;180;None;None;None;scans.snakescan(cbd.sample_y,.035,180,cbd.sample_x,28,description="Lysozyme 4", return_at_end=False)
